Codename,Category,URL,Game,UseMaster,Release,Version
Nalia_At_Last,NPC-EXPANSION,"https://github.com/Skitia/Nalia_At_Last",BG2,,2025-03-09,"v1.14"
Wings,NPC-EXPANSION,"https://github.com/Skitia/Wings",BG2,,2024-10-07,"v1.07"
Portraits-Portraits-Everywhere,GFX,"https://github.com/smeagolheart/Portraits-Portraits-Everywhere",BG1-BG2-IWD,,2018-04-16,"54c94e7"
AC-Miscellaneous-Tweaks,TWEAKS/GFX,"https://github.com/Spellhold-Studios/AC-Miscellaneous-Tweaks",BG1-BG2,,2024-02-02,"v1.25"
Adrian-NPC,NPC,"https://github.com/Spellhold-Studios/Adrian-NPC",BG2,,2023-06-15,"v6.1"
Almateria-Restoration-Project,QUEST,"https://github.com/Spellhold-Studios/Almateria-Restoration-Project",BG2,,2024-12-03,"v10.1"
Arnel-Nalia-Romance-Revision,NPC-EXPANSION,"https://github.com/Spellhold-Studios/Arnel-Nalia-Romance-Revision",BG2,,2024-12-15,"v2.0.0"
Baldurs-Gate-Graphical-Overhaul,GFX,"https://github.com/Spellhold-Studios/Baldurs-Gate-Graphical-Overhaul",BG1-BG2,,2026-03-21,"v3.6"
BGSpawn,TWEAKS,"https://github.com/Spellhold-Studios/BGSpawn",BG1,,2025-05-19,"1.3.4"
HaerDalis-Swords,ITEMS,"https://github.com/Spellhold-Studios/HaerDalis-Swords",BG2,,2024-12-15,"v3.1.0"
IEP-Extended-Banters,NPC-RELATED,"https://github.com/Spellhold-Studios/IEP-Extended-Banters",BG2,,2024-12-15,"v5.9"
Imoen-Friendship,NPC-EXPANSION,"https://github.com/Spellhold-Studios/Imoen-Friendship",BG2,,2024-12-15,"v3.6"
Infinity-Sounds,SOUND,"https://github.com/Spellhold-Studios/Infinity-Sounds",BG1-BG2-IWD,,2025-07-09,"v2.2"
Jaheira-Friendship,NPC-EXPANSION,"https://github.com/Spellhold-Studios/Jaheira-Friendship",BG2,,2024-12-10,"v1.3"
Minsc-Friendship,NPC-EXPANSION,"https://github.com/Spellhold-Studios/Minsc-Friendship",BG2,,2024-12-15,"v1.3"
NTotSC,QUEST,"https://github.com/Spellhold-Studios/NTotSC",BG1,,2022-06-21,"v5.0.0"
Stuff-of-the-Magi,ITEMS,"https://github.com/Spellhold-Studios/Stuff-of-the-Magi",BG2,,2024-12-15,"v6.0.0"
Yeslick-NPC,NPC,"https://github.com/Spellhold-Studios/Yeslick-NPC",BG2,,2024-12-15,"v5.0"
Expanded-Thief-Stronghold,QUEST,"https://github.com/Spellhold-Studios/Expanded-Thief-Stronghold",BG2,,2024-12-15,"v3.0.0"
SubtleD_Spell_Tweaks,TWEAKS,"https://github.com/subtledoctor/SubtleD_Spell_Tweaks",BG1-BG2-IWD,,2025-10-03,"2.9.1"
ZS_CanIStabYou-Mod,TWEAKS,"https://github.com/szaumoor/ZS_CanIStabYou-Mod",BG1-BG2-IWD,,2026-03-20,"1.0.8"
ZS_CanIStabYou-Mod,TWEAKS,"https://github.com/szaumoor/ZS_CanIStabYou-Mod",BG1-BG2-IWD,,2026-03-20,"1.0.8"
ZS_ShadowdancerOverhaul,KITS,"https://github.com/szaumoor/ZS_ShadowdancerOverhaul",BG1-BG2-IWD,,2026-01-24,"1.2.4"
ZSTweaks,TWEAKS,"https://github.com/szaumoor/ZSTweaks",BG1-BG2-IWD,,2026-03-20,"1.6.7"
ChattyImoen,NPC-EXPANSION,"https://github.com/The-Gate-Project/ChattyImoen",BG1,,2023-11-21,"v1.5"
IWD_EET_End,QUEST,"https://github.com/The-Gate-Project/IWD_EET_End",BG1-BG2,,2025-08-15,"ae5728f"
IWD1_EET,QUEST,"https://github.com/The-Gate-Project/IWD1_EET",BG1,,2026-01-28,"88362e6"
IWD2_EET,QUEST,"https://github.com/The-Gate-Project/IWD2_EET",BG2,,2026-02-16,"a3ad0c8"
JaheiraRecast,SOUND,"https://github.com/The-Gate-Project/JaheiraRecast",BG1-BG2,,2024-07-09,"3.2"
Artisans-Shaman-Tweaks,TWEAKS,"https://github.com/TheArtisanBG/Artisans-Shaman-Tweaks",BG1-BG2-IWD,1,2024-07-17,"a442c97"
Bardic-Wonders,KITS,"https://github.com/TheArtisanBG/Bardic-Wonders",BG1-BG2-IWD,1,2026-03-17,"fba8d52"
House-Rule-Tweaks,TWEAKS,"https://github.com/TheArtisanBG/House-Rule-Tweaks",BG1-BG2-IWD,1,2026-03-22,"ebb87bf"
SoAExtended,QUEST,"https://github.com/TheArtisanBG/SoAExtended",BG2,1,2025-12-13,"ebccde2"
The-Artisan-s-Kitpack,KITS,"https://github.com/TheArtisanBG/The-Artisan-s-Kitpack",BG1-BG2-IWD,1,2026-03-20,"75a4860"
Subrace-mod,TWEAKS,"https://github.com/tipun81/Subrace-mod",BG1-BG2-IWD,,2022-04-14,"v0.3.1"
gorgon,QUEST,"https://github.com/TotalMilk90/gorgon",BG1,,2024-09-28,"v4.8"
LivingClara,NPC-EXPANSION,"https://github.com/trow/LivingClara",BG2,,2026-03-18,"v1.1.1"
TomeAndBlood,KITS,"https://github.com/UnearthedArcana/TomeAndBlood",BG1-BG2-IWD,,2025-03-19,"1.4"
crucible,QUEST,"https://www.morpheus-mart.com/crucible",BG2,,2026-03-15,"5.0"
fight-the-heavens,QUEST,"https://www.morpheus-mart.com/fight-the-heavens",BG2,,2025-10-11,"v1.2"
forgotten-armament,ITEMS,"https://www.morpheus-mart.com/forgotten-armament",BG1-BG2-IWD,,2026-03-15,"6.0"
morpheus562s-kitpack,KITS,"https://www.morpheus-mart.com/morpheus562s-kitpack",BG1-BG2-IWD,,2026-03-15,"5.9"
skills-and-abilities,TWEAKS,"https://www.morpheus-mart.com/skills-and-abilities",BG1-BG2-IWD,,2026-03-19,"5.1"
,GFX,"https://www.sentrizeal.com/pst_1.htm",BG1-BG2-IWD,,,""
tale-of-our-lady-dreamless,QUEST,"https://downloads.weaselmods.net/download/tale-of-our-lady-dreamless",IWD,,2026-02-21,"2.7"
below-below-inn,QUEST,"https://downloads.weaselmods.net/download/below-below-inn",IWD,,2026-02-21,"3.0"
terror-of-the-skineater,QUEST,"https://downloads.weaselmods.net/download/terror-of-the-skineater",IWD,,2026-02-21,"2.5"
night-of-the-blinking-dead,QUEST,"https://downloads.weaselmods.net/download/night-of-the-blinking-dead",IWD,,2026-02-21,"3.1"
the-rediscovery-of-kuldahar,QUEST,"https://downloads.weaselmods.net/download/the-rediscovery-of-kuldahar",IWD,,2025-07-16,"2.5"
snowytoes-hamlet,QUEST,"https://downloads.weaselmods.net/download/snowytoes-hamlet",IWD,,2026-02-21,"1.6"
xikaszs-grove-of-chaos,QUEST,"https://downloads.weaselmods.net/download/xikaszs-grove-of-chaos",IWD,,2025-12-13,"2.0"
arszyk,QUEST,"https://downloads.weaselmods.net/download/arszyk",IWD,,2025-10-25,"BETA1.4"
the-war-of-bloom-and-rot,QUEST,"https://downloads.weaselmods.net/download/the-war-of-bloom-and-rot",IWD,,2025-12-14,"1.3"
Geomantic_Sorcerer,QUEST,"https://github.com/Gibberlings3/Geomantic_Sorcerer",IWD,,2025-05-07,"v9"
arszyk,QUEST/NPC,"https://downloads.weaselmods.net/download/arszyk",IWD,,2025-10-25,"BETA1.4"
bethany,NPC,"https://downloads.weaselmods.net/download/bethany",IWD,,2025-11-15,"1.03"
dendjelion,NPC,"https://downloads.weaselmods.net/download/dendjelion",IWD,,2025-12-11,"2.1"
hommet,NPC,"https://downloads.weaselmods.net/download/hommet",IWD,,2026-02-01,"1.2"
lanna,NPC,"https://downloads.weaselmods.net/download/lanna",IWD,,2024-04-30,"1.8"
